Label,"Bromeliad number 
(use this on the tag)","Bromeliad size
class",Location,Date Collected,Time Collected,Tag bromeliad?,Picture?,Diameter,Height,Dissolved Oyxgen,Temperature,Water collected?,Detritus collected?,"Water volume 
(in lab - mL)","Filtered water 
collected + labelled?",pH,"Detritus prepared 
for freeze dry?",Dry weight detritus,Toxo?,"Number of 
invertebrates","Invert
Weight","Number of
Pooled Filters","Number of
0.2 Filters","Number of
tubes (pooled)","Number of
tubes (0.2)","Number of
Invert Tubes ",Complexity,Nitrate (Water),%C (detritus),%N (detritus),Notes
SAR_BR_18,18,Small,Lyon,12/12/2022,9:15,TRUE,TRUE,36,34,3.3,20,TRUE,TRUE,117,TRUE,7.02,TRUE,0.9879,No,15,8.5,2,1,2,2,1,29,0.0261,47.18,1.66,
SAR_BR_19,19,Medium,Lyon,12/12/2022,9:15,TRUE,TRUE,51,39,1.8,20,TRUE,TRUE,850,TRUE,5.4,TRUE,4.5353,No,101,1.6,4,3,3,3,1,22,0,48.06,2.04,worms! no pupa?
SAR_BR_20,20,Large,Lyon,12/12/2022,9:15,TRUE,TRUE,95,50,2.2,20,TRUE,TRUE,2900,TRUE,6.34,TRUE,9.7595,Yes,8.9,11.8,10,20,3,3,1,27,0,46.72,1.41,had tadpole
SAR_BR_21,21,Small,Lyon,12/13/2022,9:15,TRUE,TRUE,20,19,5.0,20.5,TRUE,TRUE,160,TRUE,8.62,TRUE,0.1456,No,8,18.5,2,1,2,1,1,11,0,46.45,2.59,
SAR_BR_22,22,Medium,Lyon,12/13/2022,9:15,TRUE,TRUE,47,27,2.8,20.4,TRUE,TRUE,121,TRUE,6.59,TRUE,0.6188,No,29,0.6,2,2,2,2,1,21,0.0804,43.43,1.9,
SAR_BR_23,23,Large,Lyon,12/13/2022,9:15,TRUE,TRUE,75,59,4.6,20.2,TRUE,TRUE,1555,TRUE,5.12,TRUE,4.2922,No,145,3.8,4,2,3,2,1,23,0,39.59,1.14,many worms not much else
SAR_BR_24,24,Large,Lyon,12/13/2022,9:15,TRUE,TRUE,120,74,3.8,20.0,TRUE,TRUE,1996,TRUE,4.99,TRUE,14.3707,Yes,80,18.2,6,5,3,3,1,17,0,49.34,1.61,morpho's found
SAR_BR_25,25,Small,Lyon,12/14/2022,9:15,TRUE,TRUE,36,40,1.5,20.9,TRUE,TRUE,192,TRUE,7.82,TRUE,1.1665,No,36,9.6,2,1,2,1,1,15,0.0043,48.18,2.09,2 crane fly larvae
SAR_BR_26,26,Medium,Lyon,12/14/2022,9:15,TRUE,TRUE,51,41,1.7,20.9,TRUE,TRUE,790,TRUE,5.71,TRUE,1.7776,Yes,22,3.1,2,3,2,3,1,32,0,49.35,2.24,"2 toxo, 2 crane fly larv, 2 slugos"
SAR_BR_27,27,Large,Lyon,12/14/2022,9:15,TRUE,TRUE,95,35,3.2,20.9,TRUE,TRUE,1010,TRUE,6.90,TRUE,21.7003,No,133,2.1,9,7,3,3,1,42,0.0261,47.69,1.46,
SAR_BR_28,28,Small,Lyon,12/15/2022,9:15,TRUE,TRUE,41,31,3.2,NA,TRUE,TRUE,32,TRUE,7.87,TRUE,1.2505,No,6,18.4,2,1,2,1,1,20,0.1022,45.83,1.38,no mosquitos only morpho L2 & worms
SAR_BR_29,29,Medium,Lyon,12/15/2022,9:15,TRUE,TRUE,62,32,2.5,NA,TRUE,TRUE,305,TRUE,7.92,TRUE,3.2925,Yes,21,0.1,3,3,3,3,1,17,0.0097,48.75,1.34,
SAR_BR_30,30,Large,Lyon,12/15/2022,9:15,TRUE,TRUE,129,75,1.2,19.4,TRUE,TRUE,6020,TRUE,6.61,TRUE,,Yes,149,1.7,30,48,,0,0,54,0,38.74,1.83,3 toxo
SAR_BR_31,31,Small,Lyon,12/16/2022,9:15,TRUE,TRUE,31,21,0.8,20.0,TRUE,TRUE,51,TRUE,9.90,TRUE,0.9778,No,6,1.3,2,1,1,1,1,15,0.0424,42.4,1.81,
SAR_BR_32,32,Medium,Lyon,12/16/2022,9:15,TRUE,TRUE,55,48,3.1,19.1,TRUE,TRUE,260,TRUE,11.03,TRUE,0.7678,No,4,0.1,2,1,1,1,1,36,0,48.55,1.17,
SAR_BR_33,33,Large,Lyon,12/16/2022,9:15,TRUE,TRUE,66,55,1.3,19,TRUE,TRUE,1170,TRUE,9.61,TRUE,14.8563,Yes,41,16.7,5,4,3,3,1,22,0,48.55,1.17,2 toxo
